"initial_alias","converted_alias","name","description","namespace"
"TRPM1","ENSG00000134160","TRPM1","transient receptor potential cation channel subfamily M member 1 [Source:HGNC Symbol;Acc:HGNC:7146]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CRYBG3","ENSG00000080200","CRYBG3","crystallin beta-gamma domain containing 3 [Source:HGNC Symbol;Acc:HGNC:34427]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"USP5","ENSG00000111667","USP5","ubiquitin specific peptidase 5 [Source:HGNC Symbol;Acc:HGNC:12628]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TAGAP","ENSG00000164691","TAGAP","T cell activation RhoGTPase activating protein [Source:HGNC Symbol;Acc:HGNC:15669]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LINC00554","ENSG00000260738","LINC00554","long intergenic non-protein coding RNA 554 [Source:HGNC Symbol;Acc:HGNC:43697]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"MRPL21","ENSG00000197345","MRPL21","mitochondrial ribosomal protein L21 [Source:HGNC Symbol;Acc:HGNC:14479]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PIPSL","ENSG00000180764","PIPSL","PIP5K1A and PSMD4 like (pseudogene) [Source:HGNC Symbol;Acc:HGNC:23733]","GENECARDS,HGNC"
"TMEM108-AS1","ENSG00000251011","TMEM108-AS1","TMEM108 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:50307]","GENECARDS,HGNC"
"LYSMD3","ENSG00000176018","LYSMD3","LysM domain containing 3 [Source:HGNC Symbol;Acc:HGNC:26969]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRAPPC12","ENSG00000171853","TRAPPC12","trafficking protein particle complex subunit 12 [Source:HGNC Symbol;Acc:HGNC:24284]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IGLON5","ENSG00000142549","IGLON5","IgLON family member 5 [Source:HGNC Symbol;Acc:HGNC:34550]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BARX2","ENSG00000043039","BARX2","BARX homeobox 2 [Source:HGNC Symbol;Acc:HGNC:956]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF681","ENSG00000196172","ZNF681","zinc finger protein 681 [Source:HGNC Symbol;Acc:HGNC:26457]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLITRK6","ENSG00000184564","SLITRK6","SLIT and NTRK like family member 6 [Source:HGNC Symbol;Acc:HGNC:23503]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IMMT","ENSG00000132305","IMMT","inner membrane mitochondrial protein [Source:HGNC Symbol;Acc:HGNC:6047]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SGPP1","ENSG00000126821","SGPP1","sphingosine-1-phosphate phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:17720]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"INTU","ENSG00000164066","INTU","inturned planar cell polarity protein [Source:HGNC Symbol;Acc:HGNC:29239]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LINC01361","ENSG00000236268","LINC01361","long intergenic non-protein coding RNA 1361 [Source:HGNC Symbol;Acc:HGNC:50595]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"CISD2","ENSG00000145354","CISD2","CDGSH iron sulfur domain 2 [Source:HGNC Symbol;Acc:HGNC:24212]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLIT1-AS1","ENSG00000234855","SLIT1-AS1","SLIT1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51198]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"HINFP","ENSG00000172273","HINFP","histone H4 transcription factor [Source:HGNC Symbol;Acc:HGNC:17850]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HPCAL1","ENSG00000115756","HPCAL1","hippocalcin like 1 [Source:HGNC Symbol;Acc:HGNC:5145]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AQP5","ENSG00000161798","AQP5","aquaporin 5 [Source:HGNC Symbol;Acc:HGNC:638]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZBTB42","ENSG00000179627","ZBTB42","zinc finger and BTB domain containing 42 [Source:HGNC Symbol;Acc:HGNC:32550]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C2ORF78","ENSG00000187833","C2orf78","chromosome 2 open reading frame 78 [Source:HGNC Symbol;Acc:HGNC:34349]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PDZK1","ENSG00000174827","PDZK1","PDZ domain containing 1 [Source:HGNC Symbol;Acc:HGNC:8821]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"USP34","ENSG00000115464","USP34","ubiquitin specific peptidase 34 [Source:HGNC Symbol;Acc:HGNC:20066]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KDELC2","ENSG00000178202","POGLUT3","protein O-glucosyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:28496]","UNIPROT_GN"
"STC2","ENSG00000113739","STC2","stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BMP4","ENSG00000125378","BMP4","bone morphogenetic protein 4 [Source:HGNC Symbol;Acc:HGNC:1071]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATXN3","ENSG00000066427","ATXN3","ataxin 3 [Source:HGNC Symbol;Acc:HGNC:7106]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EXOSC6","ENSG00000223496","EXOSC6","exosome component 6 [Source:HGNC Symbol;Acc:HGNC:19055]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC6A8","ENSG00000130821","SLC6A8","solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CTAGE10P","ENSG00000181358","CTAGE10P","CTAGE family member 10, pseudogene [Source:HGNC Symbol;Acc:HGNC:37288]","GENECARDS,HGNC"
"NUDT12","ENSG00000112874","NUDT12","nudix hydrolase 12 [Source:HGNC Symbol;Acc:HGNC:18826]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GRM5","ENSG00000168959","GRM5","glutamate metabotropic receptor 5 [Source:HGNC Symbol;Acc:HGNC:4597]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LINC01163","ENSG00000280953","LINC01163","long intergenic non-protein coding RNA 1163 [Source:HGNC Symbol;Acc:HGNC:49530]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"PCDHA7","ENSG00000204963","PCDHA7","protocadherin alpha 7 [Source:HGNC Symbol;Acc:HGNC:8673]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PEX13","ENSG00000162928","PEX13","peroxisomal biogenesis factor 13 [Source:HGNC Symbol;Acc:HGNC:8855]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NPM1","ENSG00000181163","NPM1","nucleophosmin 1 [Source:HGNC Symbol;Acc:HGNC:7910]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DSCAS","ENSG00000265888","DSCAS","DSC1/DSC2 antisense RNA [Source:HGNC Symbol;Acc:HGNC:51116]","GENECARDS,HGNC"
"ADIPOR2","ENSG00000006831","ADIPOR2","adiponectin receptor 2 [Source:HGNC Symbol;Acc:HGNC:24041]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LINC00202-2","None","None","None",""
"APOL3","ENSG00000128284","APOL3","apolipoprotein L3 [Source:HGNC Symbol;Acc:HGNC:14868]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SNAP25-AS1","ENSG00000227906","SNAP25-AS1","SNAP25 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44312]","GENECARDS,HGNC"
"ACTN3","ENSG00000248746","ACTN3","actinin alpha 3 [Source:HGNC Symbol;Acc:HGNC:165]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SFI1","ENSG00000198089","SFI1","SFI1 centrin binding protein [Source:HGNC Symbol;Acc:HGNC:29064]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LINC00499","ENSG00000251372","LINC00499","long intergenic non-protein coding RNA 499 [Source:HGNC Symbol;Acc:HGNC:43436]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"RNVU1-18","ENSG00000206737","RNVU1-18","RNA, variant U1 small nuclear 18 [Source:HGNC Symbol;Acc:HGNC:37496]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"RNVU1-18","ENSG00000207389","RNU1-4","RNA, U1 small nuclear 4 [Source:HGNC Symbol;Acc:HGNC:10128]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"RAPGEF2","ENSG00000109756","RAPGEF2","Rap guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:16854]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COL22A1","ENSG00000169436","COL22A1","collagen type XXII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:22989]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TUBGCP4","ENSG00000137822","TUBGCP4","tubulin gamma complex associated protein 4 [Source:HGNC Symbol;Acc:HGNC:16691]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCDC130","None","None","None",""
"AK5","ENSG00000154027","AK5","adenylate kinase 5 [Source:HGNC Symbol;Acc:HGNC:365]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DBI","ENSG00000155368","DBI","diazepam binding inhibitor, acyl-CoA binding protein [Source:HGNC Symbol;Acc:HGNC:2690]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NOXA1","ENSG00000188747","NOXA1","NADPH oxidase activator 1 [Source:HGNC Symbol;Acc:HGNC:10668]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CLC","ENSG00000105205","CLC","Charcot-Leyden crystal galectin [Source:HGNC Symbol;Acc:HGNC:2014]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PCDHGA2","ENSG00000081853","PCDHGA2","protocadherin gamma subfamily A, 2 [Source:HGNC Symbol;Acc:HGNC:8700]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C2ORF66","ENSG00000187944","C2orf66","chromosome 2 open reading frame 66 [Source:HGNC Symbol;Acc:HGNC:33809]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARHGAP15","ENSG00000075884","ARHGAP15","Rho GTPase activating protein 15 [Source:HGNC Symbol;Acc:HGNC:21030]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SRPK2","ENSG00000135250","SRPK2","SRSF protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:11306]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STXBP2","ENSG00000076944","STXBP2","syntaxin binding protein 2 [Source:HGNC Symbol;Acc:HGNC:11445]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC38A6","ENSG00000139974","SLC38A6","solute carrier family 38 member 6 [Source:HGNC Symbol;Acc:HGNC:19863]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM163","ENSG00000152128","TMEM163","transmembrane protein 163 [Source:HGNC Symbol;Acc:HGNC:25380]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TCHP","ENSG00000139437","TCHP","trichoplein keratin filament binding [Source:HGNC Symbol;Acc:HGNC:28135]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RNASE1","ENSG00000129538","RNASE1","ribonuclease A family member 1, pancreatic [Source:HGNC Symbol;Acc:HGNC:10044]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RHOXF2","ENSG00000131721","RHOXF2","Rhox homeobox family member 2 [Source:HGNC Symbol;Acc:HGNC:30011]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAB6B","ENSG00000154917","RAB6B","RAB6B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:14902]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ULK1","ENSG00000177169","ULK1","unc-51 like autophagy activating kinase 1 [Source:HGNC Symbol;Acc:HGNC:12558]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LINC01481","None","None","None",""
"PTGDR2","ENSG00000183134","PTGDR2","prostaglandin D2 receptor 2 [Source:HGNC Symbol;Acc:HGNC:4502]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CD27-AS1","ENSG00000215039","CD27-AS1","CD27 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:43896]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"ZDHHC21","ENSG00000175893","ZDHHC21","zinc finger DHHC-type palmitoyltransferase 21 [Source:HGNC Symbol;Acc:HGNC:20750]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF765","ENSG00000196417","ZNF765","zinc finger protein 765 [Source:HGNC Symbol;Acc:HGNC:25092]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CBX5","ENSG00000094916","CBX5","chromobox 5 [Source:HGNC Symbol;Acc:HGNC:1555]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KLHL1","ENSG00000150361","KLHL1","kelch like family member 1 [Source:HGNC Symbol;Acc:HGNC:6352]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KIAA0100","None","None","None",""
"C4ORF36","ENSG00000163633","C4orf36","chromosome 4 open reading frame 36 [Source:HGNC Symbol;Acc:HGNC:28386]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C4ORF36","ENSG00000285458","C4orf36","chromosome 4 open reading frame 36 [Source:NCBI gene (formerly Entrezgene);Acc:132989]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PTPRN","ENSG00000054356","PTPRN","protein tyrosine phosphatase receptor type N [Source:HGNC Symbol;Acc:HGNC:9676]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC34A1","ENSG00000131183","SLC34A1","solute carrier family 34 member 1 [Source:HGNC Symbol;Acc:HGNC:11019]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IRF6","ENSG00000117595","IRF6","interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR10V2P","ENSG00000255538","OR10V2P","olfactory receptor family 10 subfamily V member 2 pseudogene [Source:HGNC Symbol;Acc:HGNC:15137]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"LRRN3","ENSG00000173114","LRRN3","leucine rich repeat neuronal 3 [Source:HGNC Symbol;Acc:HGNC:17200]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OCRL","ENSG00000122126","OCRL","OCRL inositol polyphosphate-5-phosphatase [Source:HGNC Symbol;Acc:HGNC:8108]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF343","ENSG00000088876","ZNF343","zinc finger protein 343 [Source:HGNC Symbol;Acc:HGNC:16017]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GLTSCR1","None","None","None",""
"ATRIP","ENSG00000164053","ATRIP","ATR interacting protein [Source:HGNC Symbol;Acc:HGNC:33499]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SNORD15B","ENSG00000207445","SNORD15B","small nucleolar RNA, C/D box 15B [Source:HGNC Symbol;Acc:HGNC:16649]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"ANKRD34A","ENSG00000272031","ANKRD34A","ankyrin repeat domain 34A [Source:HGNC Symbol;Acc:HGNC:27639]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF35","ENSG00000169981","ZNF35","zinc finger protein 35 [Source:HGNC Symbol;Acc:HGNC:13099]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LINC00969","None","None","None",""
"HELQ","ENSG00000163312","HELQ","helicase, POLQ like [Source:HGNC Symbol;Acc:HGNC:18536]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARHGEF25","ENSG00000240771","ARHGEF25","Rho guanine nucleotide exchange factor 25 [Source:HGNC Symbol;Acc:HGNC:30275]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AKAP5","ENSG00000179841","AKAP5","A-kinase anchoring protein 5 [Source:HGNC Symbol;Acc:HGNC:375]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TCHHL1","ENSG00000182898","TCHHL1","trichohyalin like 1 [Source:HGNC Symbol;Acc:HGNC:31796]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MYBL2","ENSG00000101057","MYBL2","MYB proto-oncogene like 2 [Source:HGNC Symbol;Acc:HGNC:7548]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HLA-DRB6","ENSG00000229391","HLA-DRB6","major histocompatibility complex, class II, DR beta 6 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:4954]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"HLA-DRB6","ENSG00000290878","HLA-DRB6","major histocompatibility complex, class II, DR beta 6 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:4954]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"CDK17","ENSG00000059758","CDK17","cyclin dependent kinase 17 [Source:HGNC Symbol;Acc:HGNC:8750]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MBD2","ENSG00000134046","MBD2","methyl-CpG binding domain protein 2 [Source:HGNC Symbol;Acc:HGNC:6917]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CYP1A2","ENSG00000140505","CYP1A2","cytochrome P450 family 1 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:2596]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CTNNBIP1","ENSG00000178585","CTNNBIP1","catenin beta interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16913]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SMG6","ENSG00000070366","SMG6","SMG6 nonsense mediated mRNA decay factor [Source:HGNC Symbol;Acc:HGNC:17809]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TNXA","ENSG00000248290","TNXA","tenascin XA (pseudogene) [Source:HGNC Symbol;Acc:HGNC:11975]","GENECARDS,HGNC"
"TTF1","ENSG00000125482","TTF1","transcription termination factor 1 [Source:HGNC Symbol;Acc:HGNC:12397]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAM167A","ENSG00000154319","FAM167A","family with sequence similarity 167 member A [Source:HGNC Symbol;Acc:HGNC:15549]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CAPRIN1","ENSG00000135387","CAPRIN1","cell cycle associated protein 1 [Source:HGNC Symbol;Acc:HGNC:6743]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TUFT1","ENSG00000143367","TUFT1","tuftelin 1 [Source:HGNC Symbol;Acc:HGNC:12422]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ELMSAN1","None","None","None",""
"RTFDC1","None","None","None",""
"SULT1E1","ENSG00000109193","SULT1E1","sulfotransferase family 1E member 1 [Source:HGNC Symbol;Acc:HGNC:11377]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"WDR72","ENSG00000166415","WDR72","WD repeat domain 72 [Source:HGNC Symbol;Acc:HGNC:26790]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HLA-DPB2","ENSG00000224557","HLA-DPB2","major histocompatibility complex, class II, DP beta 2 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:4941]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"TMEM2","ENSG00000135048","CEMIP2","cell migration inducing hyaluronidase 2 [Source:HGNC Symbol;Acc:HGNC:11869]","UNIPROT_GN"
"NPPC","ENSG00000163273","NPPC","natriuretic peptide C [Source:HGNC Symbol;Acc:HGNC:7941]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NISCH","ENSG00000010322","NISCH","nischarin [Source:HGNC Symbol;Acc:HGNC:18006]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PAX6","ENSG00000007372","PAX6","paired box 6 [Source:HGNC Symbol;Acc:HGNC:8620]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NKX2-4","ENSG00000125816","NKX2-4","NK2 homeobox 4 [Source:HGNC Symbol;Acc:HGNC:7837]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CR2","ENSG00000117322","CR2","complement C3d receptor 2 [Source:HGNC Symbol;Acc:HGNC:2336]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C2ORF27A","ENSG00000287151","C2orf27A","chromosome 2 open reading frame 27A [Source:HGNC Symbol;Acc:HGNC:25077]","GENECARDS,HGNC"
"PSAP","ENSG00000197746","PSAP","prosaposin [Source:HGNC Symbol;Acc:HGNC:9498]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MYO6","ENSG00000196586","MYO6","myosin VI [Source:HGNC Symbol;Acc:HGNC:7605]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EFR3A","ENSG00000132294","EFR3A","EFR3 homolog A [Source:HGNC Symbol;Acc:HGNC:28970]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BRDT","ENSG00000137948","BRDT","bromodomain testis associated [Source:HGNC Symbol;Acc:HGNC:1105]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C1GALT1C1","ENSG00000171155","C1GALT1C1","C1GALT1 specific chaperone 1 [Source:HGNC Symbol;Acc:HGNC:24338]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CD40","ENSG00000101017","CD40","CD40 molecule [Source:HGNC Symbol;Acc:HGNC:11919]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C16ORF70","None","None","None",""
"PRKCE","ENSG00000171132","PRKCE","protein kinase C epsilon [Source:HGNC Symbol;Acc:HGNC:9401]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"USP31","ENSG00000103404","USP31","ubiquitin specific peptidase 31 [Source:HGNC Symbol;Acc:HGNC:20060]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CHCHD5","ENSG00000125611","CHCHD5","coiled-coil-helix-coiled-coil-helix domain containing 5 [Source:HGNC Symbol;Acc:HGNC:17840]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GOLGA6C","ENSG00000167195","GOLGA6C","golgin A6 family member C [Source:HGNC Symbol;Acc:HGNC:32206]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CSAD","ENSG00000139631","CSAD","cysteine sulfinic acid decarboxylase [Source:HGNC Symbol;Acc:HGNC:18966]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DENND4B","ENSG00000198837","DENND4B","DENN domain containing 4B [Source:HGNC Symbol;Acc:HGNC:29044]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCB6","ENSG00000115657","ABCB6","ATP binding cassette subfamily B member 6 (Langereis blood group) [Source:HGNC Symbol;Acc:HGNC:47]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GBX1","ENSG00000164900","GBX1","gastrulation brain homeobox 1 [Source:HGNC Symbol;Acc:HGNC:4185]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LRRC37A11P","ENSG00000214553","LRRC37A11P","leucine rich repeat containing 37 member A11, pseudogene [Source:HGNC Symbol;Acc:HGNC:43815]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"LRRC37A11P","ENSG00000290925","LRRC37A11P","leucine rich repeat containing 37 member A11, pseudogene [Source:HGNC Symbol;Acc:HGNC:43815]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"PRPF40A","ENSG00000196504","PRPF40A","pre-mRNA processing factor 40 homolog A [Source:HGNC Symbol;Acc:HGNC:16463]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LMNTD1","ENSG00000152936","LMNTD1","lamin tail domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26683]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VAMP4","ENSG00000117533","VAMP4","vesicle associated membrane protein 4 [Source:HGNC Symbol;Acc:HGNC:12645]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NDUFS3","ENSG00000213619","NDUFS3","NADH:ubiquinone oxidoreductase core subunit S3 [Source:HGNC Symbol;Acc:HGNC:7710]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FBXO31","ENSG00000103264","FBXO31","F-box protein 31 [Source:HGNC Symbol;Acc:HGNC:16510]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TCEAL8","ENSG00000180964","TCEAL8","transcription elongation factor A like 8 [Source:HGNC Symbol;Acc:HGNC:28683]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KRTAP5-6","ENSG00000205864","KRTAP5-6","keratin associated protein 5-6 [Source:HGNC Symbol;Acc:HGNC:23600]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SYCE1L","ENSG00000205078","SYCE1L","synaptonemal complex central element protein 1 like [Source:HGNC Symbol;Acc:HGNC:37236]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
